,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
110,2021,4,Neuquén,29.0,73.0,23.0,22.0,746.0,893.0
111,2021,4,Río Negro,42.0,44.0,32.0,17.0,18.0,153.0
112,2021,4,Salta,47.0,100.0,40.0,6.0,7.0,200.0
113,2021,4,San Juan,36.0,13.0,11.0,11.0,8.0,79.0
114,2021,4,San Luis,8.0,11.0,30.0,71.0,29.0,149.0
115,2021,4,Santa Cruz,11.0,23.0,10.0,4.0,417.0,465.0
116,2021,4,Santa Fe,233.0,444.0,129.0,44.0,16.0,866.0
117,2021,4,Santiago Del Estero,19.0,87.0,1.0,6.0,3.0,116.0
118,2021,4,Tierra Del Fuego,13.0,38.0,426.0,124.0,342.0,943.0
119,2021,4,Tucumán,98.0,59.0,79.0,3.0,486.0,725.0
120,2021,3,Buenos Aires,586.0,3.0,886.0,120.0,65.0,1660.0
121,2021,3,Capital Federal,143.0,1.0,43.0,6.0,29.0,222.0
122,2021,3,Catamarca,18.0,12.0,22.0,2.0,2.0,56.0
123,2021,3,Chaco,38.0,64.0,28.0,8.0,2.0,140.0
124,2021,3,Chubut,49.0,56.0,9.0,23.0,19.0,156.0
125,2021,3,Córdoba,229.0,477.0,167.0,58.0,15.0,946.0
126,2021,3,Corrientes,45.0,69.0,8.0,7.0,5.0,134.0
127,2021,3,Entre Ríos,74.0,129.0,20.0,24.0,13.0,260.0
128,2021,3,Formosa,18.0,14.0,5.0,16.0,171.0,224.0
129,2021,3,Jujuy,24.0,61.0,20.0,3.0,4.0,112.0
130,2021,3,La Pampa,9.0,58.0,18.0,14.0,1.0,100.0
131,2021,3,La Rioja,11.0,55.0,9.0,7.0,30.0,112.0
132,2021,3,Mendoza,91.0,71.0,71.0,22.0,828.0,1083.0
133,2021,3,Misiones,43.0,89.0,11.0,7.0,8.0,158.0
134,2021,3,Neuquén,30.0,74.0,16.0,19.0,640.0,779.0
135,2021,3,Río Negro,48.0,45.0,19.0,15.0,18.0,145.0
136,2021,3,Salta,49.0,98.0,36.0,6.0,6.0,195.0
137,2021,3,San Juan,40.0,13.0,7.0,11.0,8.0,79.0
138,2021,3,San Luis,8.0,12.0,27.0,69.0,29.0,145.0
139,2021,3,Santa Cruz,12.0,23.0,6.0,4.0,3.0,48.0
140,2021,3,Santa Fe,246.0,443.0,93.0,43.0,16.0,841.0
141,2021,3,Santiago Del Estero,20.0,86.0,909.0,6.0,3.0,1024.0
142,2021,3,Tierra Del Fuego,13.0,37.0,6.0,16.0,390.0,462.0
143,2021,3,Tucumán,104.0,54.0,71.0,2.0,743.0,974.0
144,2021,2,Buenos Aires,603.0,3.0,854.0,114.0,58.0,1632.0
145,2021,2,Capital Federal,149.0,1.0,41.0,6.0,29.0,226.0
146,2021,2,Catamarca,20.0,9.0,22.0,1.0,2.0,54.0
147,2021,2,Chaco,40.0,63.0,28.0,8.0,2.0,141.0
148,2021,2,Chubut,49.0,41.0,6.0,24.0,19.0,139.0
149,2021,2,Córdoba,240.0,468.0,152.0,56.0,16.0,932.0
150,2021,2,Corrientes,47.0,67.0,4.0,7.0,5.0,130.0
151,2021,2,Entre Ríos,78.0,125.0,18.0,24.0,13.0,258.0
152,2021,2,Formosa,20.0,13.0,4.0,16.0,171.0,224.0
153,2021,2,Jujuy,25.0,61.0,20.0,3.0,4.0,113.0
154,2021,2,La Pampa,9.0,57.0,17.0,13.0,1.0,97.0
155,2021,2,La Rioja,12.0,54.0,9.0,6.0,30.0,111.0
156,2021,2,Mendoza,92.0,71.0,45.0,22.0,827.0,1057.0
157,2021,2,Misiones,45.0,88.0,10.0,5.0,8.0,156.0
158,2021,2,Neuquén,30.0,73.0,16.0,19.0,640.0,778.0
